row_id,credit_limit,sex,education,marital_status,age,latest_repayment_status,maximum_repayment_delay_6m,delayed_months_6m,average_bill_6m,bill_change_sep_to_apr,total_payment_6m,payment_to_bill_ratio_6m,zero_payment_months_6m,utilization_sep,repayment_assistance_plan,payment_difficulty_next_month
CR26-124753,140000,male,graduate_school,single,29,-2,0,0,1200,0,7200,1.0,0,0.0,no,0
CR26-102922,360000,male,graduate_school,single,31,1,1,1,600,-1600,3300,1.0,4,0.0,no,1
CR26-110869,350000,male,university,single,32,0,0,0,209400,30600,50300,0.04,0,0.65,no,1
CR26-122978,300000,male,university,married,48,1,1,1,0,0,0,0.0,6,0.0,yes,1
CR26-129467,50000,male,graduate_school,single,48,0,0,0,39800,26300,55100,0.23,0,1.07,no,0
CR26-122654,180000,female,graduate_school,married,39,0,0,0,134300,71500,29900,0.04,0,0.99,no,0
CR26-125510,210000,female,university,married,33,0,0,0,150400,105000,38300,0.04,0,0.98,no,0
CR26-110197,70000,female,university,single,36,0,0,0,44300,53600,28200,0.11,0,0.98,no,0
CR26-103528,270000,female,graduate_school,single,32,0,0,0,48500,23200,15100,0.05,0,0.2,no,0
CR26-107332,80000,female,graduate_school,single,24,0,0,0,59700,33000,14400,0.04,0,0.99,no,0
CR26-125800,70000,female,university,single,23,0,0,0,25700,46000,7900,0.05,0,0.78,no,0
CR26-110565,80000,female,university,single,25,0,0,0,36100,16200,8700,0.04,1,0.46,no,0
CR26-125295,170000,female,university,married,39,0,0,0,44100,80400,34500,0.13,0,0.59,no,0
CR26-127217,100000,female,graduate_school,single,29,1,2,4,2900,5900,6700,0.39,3,0.06,no,0
CR26-119963,50000,male,high_school,single,40,0,0,0,30300,42600,39500,0.22,0,0.92,no,1
CR26-125936,150000,male,graduate_school,single,33,-1,2,1,1000,1100,5700,0.95,1,0.01,no,0
CR26-100948,320000,female,university,married,33,-1,0,0,3300,-4500,20600,1.02,0,0.01,yes,0
CR26-101292,20000,female,university,married,24,-1,0,0,100,800,700,0.69,4,0.04,no,1
CR26-111418,200000,female,university,married,30,0,0,0,196400,-1800,45100,0.04,0,0.97,no,0
CR26-107662,180000,female,unknown,married,39,0,0,0,80500,800,96500,0.2,0,0.47,no,0
CR26-126335,320000,female,university,married,46,-2,0,0,20300,-3800,115400,0.95,0,0.05,yes,0
CR26-115093,460000,female,graduate_school,single,38,0,0,0,261600,69900,54200,0.03,0,0.65,no,0
CR26-104639,110000,female,graduate_school,single,27,0,2,1,73300,47300,15100,0.03,1,0.81,no,0
CR26-128728,50000,female,graduate_school,single,22,0,2,1,5300,3500,35700,1.13,1,0.07,no,0
CR26-112625,430000,female,university,married,37,0,0,0,10700,14600,10500,0.16,0,0.04,yes,0
CR26-120311,20000,female,university,married,40,0,0,0,6900,10600,23900,0.57,0,0.52,no,0
CR26-125089,340000,female,graduate_school,single,27,0,0,0,18200,19400,32100,0.29,0,0.09,no,0
CR26-112092,20000,male,high_school,single,35,-1,3,2,7700,8900,11000,0.24,4,0.45,no,0
CR26-120520,20000,male,graduate_school,single,28,0,0,0,21600,-100,8800,0.07,0,0.96,no,0
CR26-107754,50000,female,graduate_school,single,28,1,3,3,3700,700,1900,0.09,3,0.09,no,1
CR26-111383,170000,male,graduate_school,married,51,-1,0,0,300,0,1900,1.0,0,0.0,no,0
CR26-116646,350000,male,high_school,married,37,0,0,0,44100,46600,33100,0.12,0,0.2,no,0
CR26-108678,180000,male,university,married,35,-1,0,0,900,0,4400,0.8,2,0.01,yes,1
CR26-122989,60000,female,graduate_school,single,29,-1,0,0,6000,2600,34400,0.96,0,0.09,no,0
CR26-115075,90000,male,university,single,27,0,2,1,45900,12100,11000,0.04,0,0.55,no,0
CR26-118625,210000,female,graduate_school,single,28,-1,0,0,5600,-3600,33500,1.0,0,0.03,yes,1
CR26-110029,420000,female,graduate_school,single,27,0,0,0,209700,-22100,46600,0.04,0,0.47,yes,0
CR26-101451,450000,male,university,single,30,0,0,0,518700,138200,532500,0.17,0,1.36,no,0
CR26-114469,20000,female,university,married,41,-1,0,0,3200,-5200,10000,0.52,2,0.12,no,0
CR26-106808,320000,male,graduate_school,single,28,-2,0,0,5200,25400,5700,0.18,1,0.08,no,0
CR26-123657,160000,male,graduate_school,married,53,0,0,0,74500,154500,11400,0.03,0,1.28,no,0
CR26-119800,260000,male,university,single,31,-1,0,0,300,0,2100,1.07,0,0.0,no,0
CR26-108276,40000,female,university,married,36,2,2,4,7300,4700,6800,0.16,1,0.18,no,0
CR26-111852,240000,female,university,married,32,1,1,1,300,-1400,1700,1.0,4,0.0,no,0
CR26-120571,120000,female,graduate_school,married,39,1,1,1,0,0,0,0.0,6,0.0,no,1
CR26-122108,120000,female,university,married,39,-1,2,1,9000,-10100,42700,0.79,1,0.09,no,0
CR26-112075,290000,female,graduate_school,single,31,-1,0,0,6300,20500,25700,0.68,0,0.07,no,0
CR26-126527,500000,male,graduate_school,married,30,-1,0,0,1400,6000,2500,0.29,5,0.01,no,0
CR26-114187,360000,female,university,single,33,0,0,0,7100,1300,22600,0.53,1,0.03,no,0
CR26-100486,220000,male,graduate_school,single,51,-1,0,0,19300,-100,129600,1.11,2,0.09,no,0
CR26-107254,90000,female,university,married,29,0,0,0,8600,7900,11000,0.21,0,0.15,no,0
CR26-103896,150000,female,university,married,39,-1,0,0,39900,-65500,198600,0.83,0,0.08,yes,0
CR26-106734,200000,male,graduate_school,married,35,1,2,2,185900,32500,38200,0.03,1,1.02,yes,1
CR26-114697,80000,male,graduate_school,single,26,0,0,0,62000,33000,14500,0.04,0,1.0,no,0
CR26-126133,30000,female,university,single,23,0,0,0,19900,9400,10000,0.08,1,0.76,no,0
CR26-107461,210000,male,graduate_school,married,40,-1,0,0,3600,-8700,28200,1.3,0,0.01,no,0
CR26-101362,360000,female,graduate_school,single,28,0,0,0,2500,4400,7700,0.51,2,0.02,no,0
CR26-107388,130000,female,graduate_school,single,29,-1,3,5,0,200,0,0.0,6,0.0,no,1
CR26-120691,80000,male,university,single,32,1,2,2,35300,82200,2600,0.01,3,1.03,no,1
CR26-127314,430000,male,graduate_school,married,34,-1,0,0,8000,9400,44300,0.93,0,0.03,yes,1
CR26-112789,80000,female,graduate_school,single,24,-1,0,0,300,200,2600,1.3,0,0.0,yes,0
CR26-112112,10000,male,graduate_school,single,23,0,0,0,6300,900,11500,0.31,0,0.69,no,0
CR26-101949,170000,male,graduate_school,single,31,-1,0,0,2200,-400,10700,0.8,0,0.01,no,0
CR26-117110,230000,male,university,single,31,0,0,0,179300,-16900,48800,0.05,0,0.74,no,0
CR26-113960,80000,female,high_school,married,35,0,0,0,34500,36100,9500,0.05,0,0.62,no,0
CR26-103842,150000,male,graduate_school,single,26,0,0,0,19100,14100,12000,0.1,0,0.18,no,0
CR26-107621,20000,male,university,single,29,0,2,1,12400,-3200,6600,0.09,1,0.52,no,0
CR26-107546,50000,male,high_school,single,26,2,2,4,45300,-6900,11300,0.04,2,0.84,no,0
CR26-124248,150000,female,university,single,25,0,0,0,96000,85200,59900,0.1,0,0.95,no,0
CR26-127139,80000,female,graduate_school,single,28,1,1,1,200,800,2300,1.0,5,0.0,no,1
CR26-104732,20000,female,university,married,23,0,0,0,17900,-2500,21100,0.2,0,0.85,no,0
CR26-122253,50000,female,university,single,42,0,0,0,37100,32300,8500,0.04,0,0.93,yes,0
CR26-116533,500000,female,university,married,47,0,0,0,101800,108800,35000,0.06,0,0.37,no,0
CR26-105153,70000,male,university,married,36,0,0,0,9500,27900,1800,0.03,5,0.4,no,1
CR26-101131,210000,male,university,married,38,2,2,1,197000,-6800,46800,0.04,0,0.94,yes,0
CR26-105681,80000,female,high_school,married,25,0,0,0,57100,14700,12400,0.04,0,0.79,no,0
CR26-104851,400000,male,graduate_school,married,47,0,0,0,103200,20800,27600,0.04,0,0.26,no,0
CR26-100157,100000,male,high_school,married,48,-2,0,0,1100,6300,0,0.0,6,0.06,no,1
CR26-120200,260000,female,graduate_school,single,27,0,0,0,20300,-7100,32000,0.26,0,0.06,no,0
CR26-111163,200000,female,graduate_school,married,36,1,1,1,0,0,0,0.0,6,0.0,no,1
CR26-104065,140000,female,university,married,33,1,1,1,7400,-11200,15900,0.36,0,0.0,no,0
CR26-118054,30000,male,graduate_school,single,25,2,2,2,4000,-7300,38700,1.62,1,0.02,no,0
CR26-117809,200000,male,graduate_school,married,46,0,0,0,55400,-3600,13200,0.04,0,0.27,yes,0
CR26-108748,110000,female,graduate_school,single,25,0,0,0,49600,25800,13600,0.05,0,0.58,no,0
CR26-127315,300000,female,graduate_school,single,39,-1,0,0,300,2000,2800,1.37,4,0.01,no,0
CR26-100614,420000,female,graduate_school,single,36,0,0,0,17100,5100,19200,0.19,1,0.05,yes,1
CR26-110168,210000,male,university,married,35,-1,0,0,1200,5800,1200,0.18,5,0.03,yes,1
CR26-120498,180000,female,university,single,31,0,0,0,130400,-32200,206800,0.26,1,0.63,yes,0
CR26-109708,120000,male,university,single,35,0,0,0,97700,-14000,26400,0.05,0,0.76,no,1
CR26-128139,230000,male,high_school,married,38,-2,0,0,19100,-49100,61200,0.53,1,0.03,no,0
CR26-124834,30000,female,graduate_school,married,41,0,0,0,25800,4300,7200,0.05,0,0.88,no,0
CR26-126783,340000,female,university,married,45,-2,0,0,20000,300,115200,0.96,0,0.02,no,0
CR26-104836,150000,female,graduate_school,single,32,0,2,1,132900,-14900,28100,0.04,1,0.84,no,0
CR26-129617,530000,male,graduate_school,single,30,0,0,0,258600,-22600,69500,0.04,0,0.4,no,0
CR26-125466,350000,female,university,other_or_unknown,44,2,2,2,55900,-244400,305600,0.87,3,0.15,no,1
CR26-115910,470000,male,graduate_school,single,27,0,0,0,159200,83500,43200,0.05,0,0.45,no,0
CR26-123045,30000,female,high_school,single,47,0,0,0,11900,20500,4500,0.06,2,0.84,no,0
CR26-101708,400000,female,university,married,37,-2,0,0,11400,-17300,46000,0.67,0,0.01,no,0
CR26-117063,60000,female,graduate_school,married,36,0,2,3,7300,-4000,6400,0.15,1,0.07,no,0
CR26-118024,290000,male,graduate_school,married,37,-2,0,0,3100,-900,22700,1.22,1,0.0,yes,0
CR26-122116,160000,female,high_school,married,58,-1,0,0,19000,1100,112900,0.99,0,0.01,no,0
CR26-107972,30000,female,university,single,34,0,0,0,25100,-2200,7500,0.05,0,0.78,no,0
CR26-101790,500000,male,university,married,49,-1,0,0,34000,-93900,114700,0.56,0,0.0,no,0
CR26-117911,300000,female,graduate_school,single,28,0,0,0,53600,-71000,75200,0.23,0,0.1,no,0
CR26-114095,50000,female,high_school,married,44,0,0,0,16000,45600,4100,0.04,1,0.97,no,1
CR26-118488,70000,female,graduate_school,single,29,0,2,3,43400,-6600,13000,0.05,1,0.57,no,0
CR26-123485,250000,male,graduate_school,married,58,0,0,0,900,1600,1700,0.32,4,0.01,no,0
CR26-126308,20000,male,university,single,37,3,7,6,2400,0,0,0.0,6,0.12,no,1
CR26-104364,70000,female,graduate_school,single,28,0,0,0,24500,500,10400,0.07,0,0.29,no,0
CR26-117037,50000,female,graduate_school,single,25,-1,0,0,300,400,1200,0.75,4,0.01,no,0
CR26-123821,420000,male,graduate_school,single,29,0,0,0,62700,-72800,104000,0.28,0,0.04,no,0
CR26-109073,230000,female,graduate_school,single,28,-1,0,0,10600,-18100,25900,0.41,0,0.01,no,0
CR26-120281,100000,male,university,single,28,-2,0,0,0,-200,4100,4.06,3,0.0,no,0
CR26-110597,50000,male,high_school,single,30,0,2,1,8400,-2600,3900,0.08,1,0.13,no,0
CR26-116904,240000,female,graduate_school,single,35,-2,0,0,8700,-6100,59800,1.15,0,0.02,yes,0
CR26-126808,90000,female,high_school,married,46,0,0,0,8200,-3500,4900,0.1,0,0.07,yes,0
CR26-106531,50000,female,graduate_school,single,29,1,1,1,100,-400,700,0.68,4,0.0,yes,0
CR26-109234,100000,female,graduate_school,single,26,0,2,3,68900,-6800,16700,0.04,1,0.64,no,0
CR26-107611,80000,female,high_school,single,40,2,2,2,59100,53200,9700,0.03,0,1.02,no,1
CR26-114381,50000,female,university,single,22,0,0,0,1700,8100,27300,2.69,2,0.17,no,1
CR26-116131,210000,female,high_school,married,36,-1,0,0,900,1000,19200,3.43,1,0.01,no,0
CR26-102380,70000,female,university,single,42,2,2,6,46500,-3100,10000,0.04,2,0.64,no,1
CR26-114036,290000,female,graduate_school,single,34,-1,0,0,10000,-17100,54200,0.91,3,0.01,no,0
CR26-101165,170000,female,graduate_school,married,36,-1,0,0,1400,-500,7500,0.88,1,0.01,no,0
CR26-113210,180000,male,graduate_school,married,42,-1,0,0,500,1600,1600,0.5,5,0.01,yes,0
CR26-110059,170000,female,graduate_school,married,63,0,0,0,59000,-8500,16700,0.05,0,0.32,no,0
CR26-115085,170000,female,university,other_or_unknown,24,-1,0,0,38100,2300,37400,0.16,0,0.26,no,0
CR26-117962,50000,female,graduate_school,single,26,0,0,0,47400,1400,12000,0.04,0,0.96,no,1
CR26-103590,50000,female,high_school,married,44,-1,0,0,5300,-9100,13400,0.42,1,0.04,no,0
CR26-117270,230000,female,graduate_school,single,24,-1,0,0,3700,4900,12900,0.58,1,0.03,no,0
CR26-112619,150000,male,university,single,42,-2,0,0,1200,5400,1000,0.14,5,0.04,no,0
CR26-113341,200000,female,university,married,29,0,0,0,57600,28200,14600,0.04,0,0.35,no,1
CR26-108673,20000,female,graduate_school,single,24,0,0,0,21000,4100,9200,0.07,0,1.21,no,0
CR26-117406,50000,female,university,single,34,-2,0,0,500,-100,3000,1.0,0,0.01,no,0
CR26-112308,270000,female,graduate_school,single,28,-1,0,0,6400,14100,21600,0.57,0,0.06,no,0
CR26-109405,200000,male,university,married,38,0,0,0,1700,10000,7000,0.54,2,0.04,no,0
CR26-103547,180000,female,high_school,married,41,2,2,3,101400,-4700,18700,0.03,1,0.56,yes,0
CR26-109055,180000,female,university,single,43,0,0,0,15500,-75000,88900,0.95,0,0.03,no,0
CR26-128541,300000,male,university,single,27,0,0,0,9800,700,59600,1.01,1,0.01,yes,0
CR26-128257,160000,female,graduate_school,married,34,1,1,1,100,-1500,3100,1.34,4,0.0,yes,0
CR26-127505,210000,female,university,married,41,1,1,1,0,0,0,0.0,6,0.0,no,0
CR26-121721,100000,female,university,single,25,0,0,0,2600,7800,7100,0.46,2,0.09,yes,0
CR26-118802,120000,female,university,married,27,0,2,1,79800,5800,22300,0.05,1,0.7,no,1
CR26-107436,300000,female,university,married,48,-1,0,0,900,-700,5000,0.92,3,0.0,yes,0
CR26-117642,220000,male,university,married,35,0,0,0,27900,103900,211000,1.26,1,0.51,yes,0
CR26-105858,240000,male,graduate_school,single,28,0,0,0,186300,-8300,38100,0.03,0,0.76,no,0
CR26-105920,50000,female,graduate_school,single,22,-1,0,0,25900,26800,11000,0.07,0,0.9,yes,1
CR26-108714,50000,male,high_school,married,55,0,2,1,40600,9900,18300,0.08,1,0.8,no,0
CR26-106881,210000,male,graduate_school,married,47,-1,0,0,12200,-4600,71300,0.97,0,0.04,no,0
CR26-114275,190000,female,university,single,31,-1,0,0,2000,-6000,22300,1.9,3,0.0,no,0
CR26-100927,30000,male,university,single,37,3,7,6,2400,0,0,0.0,6,0.08,yes,1
CR26-100221,10000,female,university,single,25,1,2,4,8100,8600,2400,0.05,4,0.86,yes,1
CR26-120816,140000,female,graduate_school,single,31,-1,2,1,400,300,1800,0.73,1,0.0,no,0
CR26-103949,30000,male,university,married,43,1,2,3,22000,-3700,7500,0.06,2,0.68,no,0
CR26-100342,20000,male,university,single,27,1,1,1,15900,-16400,23500,0.25,0,0.0,no,0
CR26-117188,110000,male,university,married,50,0,0,0,82700,60600,17800,0.04,0,1.0,yes,1
CR26-105127,310000,female,graduate_school,single,29,-1,0,0,25200,-150500,164800,1.06,2,0.0,no,0
CR26-117656,70000,female,university,single,26,0,0,0,93500,24100,17900,0.03,0,1.5,no,1
CR26-111842,50000,female,high_school,married,35,-1,0,0,22000,3500,44300,0.34,2,0.21,yes,1
CR26-103788,130000,male,university,single,38,0,2,1,19300,-4700,8400,0.07,1,0.13,no,0
CR26-118583,500000,female,university,single,36,-1,0,0,19700,-27600,37100,0.31,1,0.0,no,0
CR26-120505,140000,female,high_school,married,28,0,2,1,10900,7600,6800,0.1,1,0.08,no,0
CR26-108990,70000,male,graduate_school,married,60,0,0,0,63000,22900,15900,0.04,0,1.0,no,1
CR26-109363,260000,male,university,single,44,0,0,0,62800,43200,12900,0.03,0,0.38,no,0
CR26-118249,50000,male,university,married,43,2,2,6,16400,-2000,4400,0.04,3,0.31,yes,1
CR26-100047,30000,male,high_school,married,33,2,2,1,28500,7300,6800,0.04,0,0.99,no,1
CR26-125312,90000,male,graduate_school,single,29,0,0,0,61200,15900,14300,0.04,0,0.81,yes,0
CR26-100561,50000,female,university,single,24,2,2,4,23200,-3700,8500,0.06,2,0.41,no,0
CR26-105806,30000,female,university,married,22,-1,0,0,7200,2600,28400,0.66,1,0.15,no,0
CR26-115103,50000,male,high_school,married,54,0,3,3,37700,-6000,9400,0.04,3,0.69,no,0
CR26-108268,20000,female,graduate_school,single,22,2,2,2,16200,-3700,7500,0.08,1,0.69,no,0
CR26-102391,70000,female,graduate_school,single,23,-2,0,0,4600,-9000,75200,2.73,1,0.0,no,0
CR26-128936,20000,male,university,single,43,-1,0,0,100,0,3000,2.97,5,0.0,no,0
CR26-123606,80000,male,university,single,36,2,2,1,78500,1000,19500,0.04,0,0.99,no,1
CR26-111806,210000,female,university,married,37,0,0,0,135700,44100,46000,0.06,0,0.77,no,0
CR26-106368,20000,male,university,married,59,0,0,0,1100,1600,3600,0.56,2,0.15,no,0
CR26-122977,20000,female,high_school,married,23,0,0,0,19000,-2200,5600,0.05,0,0.88,no,0
CR26-129801,70000,female,university,married,34,0,0,0,54300,5400,12200,0.04,0,0.83,no,0
CR26-129220,180000,female,university,single,32,1,1,1,0,0,0,0.0,6,0.0,no,1
CR26-104359,110000,male,university,single,27,0,0,0,105500,-6100,30500,0.05,0,0.93,no,1
CR26-100849,250000,female,university,single,24,-1,0,0,1500,-200,6800,0.77,2,0.0,yes,0
CR26-128941,290000,female,high_school,married,46,-1,0,0,76600,-96100,184400,0.4,0,0.25,no,0
CR26-108534,50000,female,university,single,32,1,2,2,29100,39500,7000,0.04,1,0.99,no,0
CR26-123597,20000,male,graduate_school,single,25,0,2,4,14000,-3400,5900,0.07,1,0.57,yes,1
CR26-128619,30000,male,university,single,26,1,2,6,19600,-4200,7000,0.06,3,0.6,no,0
CR26-125696,420000,female,graduate_school,single,34,-1,0,0,4900,11700,28800,0.97,0,0.03,no,0
CR26-102762,120000,male,university,single,29,0,0,0,104300,30200,23500,0.04,0,0.99,no,0
CR26-105854,200000,male,graduate_school,married,43,0,0,0,114700,99800,224000,0.32,0,1.01,no,0
CR26-108082,30000,female,high_school,single,22,0,0,0,22800,8600,14100,0.1,0,0.95,yes,0
CR26-127392,50000,female,university,married,38,-2,0,0,0,0,0,0.0,6,0.0,yes,1
CR26-125597,120000,female,high_school,married,27,2,2,2,500,-200,2800,0.99,1,0.0,yes,0
CR26-101791,230000,female,graduate_school,married,42,-1,0,0,2300,1200,15900,1.13,0,0.01,yes,0
CR26-120195,210000,female,graduate_school,married,26,1,2,3,4400,2000,16100,0.61,1,0.03,yes,1
CR26-128291,370000,male,graduate_school,married,45,0,0,0,137300,-25800,46000,0.06,0,0.33,no,0
CR26-118949,40000,female,graduate_school,single,48,0,0,0,34700,-800,9200,0.04,0,0.87,yes,0
CR26-124968,180000,male,university,single,38,2,2,2,12800,21600,2300,0.03,4,0.12,no,0
CR26-106089,180000,female,university,single,26,0,0,0,10000,-25700,45900,0.77,0,0.02,yes,0
CR26-110986,170000,male,high_school,married,31,0,0,0,94000,-109300,136500,0.24,0,0.02,no,0
CR26-109497,150000,male,high_school,single,43,-1,0,0,3500,1700,14500,0.68,2,0.01,yes,0
CR26-110382,310000,female,university,married,30,-1,0,0,31100,-38200,61100,0.33,0,0.04,no,0
CR26-111014,60000,male,high_school,single,29,0,0,0,6800,-4500,5100,0.12,1,0.08,no,0
CR26-100361,260000,female,graduate_school,married,41,0,2,1,194800,-1500,34700,0.03,0,0.61,no,0
CR26-106326,30000,female,university,married,30,0,2,1,26600,-4100,9800,0.06,1,0.8,yes,0
CR26-116337,80000,female,graduate_school,married,27,3,3,3,75200,-9400,17900,0.04,3,0.9,no,0
CR26-124302,40000,female,university,married,38,0,3,4,39000,-6300,10300,0.04,2,0.88,no,1
CR26-108434,10000,male,high_school,single,23,0,2,1,8700,-2400,3900,0.08,1,0.7,yes,0
CR26-102101,120000,female,graduate_school,single,29,-2,0,0,0,0,0,0.0,6,0.0,no,0
CR26-107968,170000,male,university,single,41,0,0,0,93400,90800,19800,0.04,0,0.96,yes,0
CR26-108890,20000,female,university,married,39,1,2,3,19100,-2200,5600,0.05,2,0.89,no,0
CR26-117175,50000,male,high_school,other_or_unknown,44,2,3,6,43700,-4300,10800,0.04,1,0.84,yes,1
CR26-104893,50000,female,university,married,42,0,0,0,21500,12000,8000,0.06,0,0.56,no,0
CR26-105519,80000,male,university,married,30,2,3,2,35600,-43000,46000,0.22,1,0.17,no,0
CR26-122393,500000,male,graduate_school,married,55,2,2,6,5000,0,0,0.0,6,0.01,no,1
CR26-129350,80000,male,high_school,married,73,-1,2,3,69400,-11900,23400,0.06,0,0.79,no,0
CR26-102823,20000,male,university,single,33,0,2,1,14100,14200,3000,0.04,5,0.91,no,1
CR26-118608,110000,female,university,single,23,0,0,0,94800,30600,24000,0.04,0,1.01,no,0
CR26-105625,170000,male,graduate_school,single,28,0,0,0,55500,5000,12500,0.04,0,0.33,no,0
CR26-128325,100000,female,graduate_school,single,27,-2,0,0,600,-2000,7600,1.36,5,0.0,no,0
CR26-117105,40000,female,university,married,28,1,2,5,22900,7000,6000,0.04,2,0.69,yes,1
CR26-126423,100000,female,high_school,single,54,1,2,4,62400,8000,13800,0.04,1,0.66,yes,0
CR26-118864,20000,female,university,married,39,0,2,3,19000,200,46600,0.36,1,1.01,no,0
CR26-101706,40000,male,university,married,38,3,3,3,39000,-1600,7600,0.03,2,0.96,no,1
CR26-100895,270000,male,university,married,51,0,0,0,24600,23300,76000,0.51,0,0.12,no,0
CR26-106133,200000,female,university,single,37,1,2,2,205600,53300,39200,0.03,1,1.13,yes,1
CR26-111414,230000,female,university,single,30,-1,2,1,2100,400,8200,0.65,1,0.01,no,0
CR26-105075,380000,female,university,single,38,0,0,0,173700,133000,41100,0.04,0,0.66,no,0
CR26-111349,70000,female,university,married,31,-1,2,2,16700,-6700,18100,0.18,2,0.1,no,0
CR26-112996,80000,female,university,single,36,2,2,3,81400,5400,22800,0.05,1,1.03,no,0
CR26-100889,380000,male,graduate_school,single,30,0,0,0,140700,83900,134700,0.16,0,0.51,no,0
CR26-110676,180000,female,university,married,51,2,2,2,15700,-2100,4900,0.05,1,0.08,yes,0
CR26-101407,80000,male,university,single,29,0,0,0,42700,15000,31000,0.12,0,0.63,yes,0
CR26-100127,80000,male,university,single,31,0,0,0,48500,-6200,14300,0.05,0,0.57,no,0
CR26-122949,290000,female,university,married,39,-1,0,0,300,0,4400,2.34,0,0.0,yes,0
CR26-106061,50000,female,university,married,33,0,0,0,25900,5400,37300,0.24,0,0.69,no,0
CR26-128731,170000,female,high_school,single,30,0,2,1,38300,-400,10900,0.05,1,0.23,no,0
CR26-110820,180000,male,university,single,36,0,0,0,133300,4000,35600,0.04,0,0.76,no,0
CR26-112746,80000,female,high_school,married,55,2,2,2,73500,-5500,15000,0.03,1,0.9,no,0
CR26-121793,300000,male,graduate_school,single,30,-2,0,0,600,800,3000,0.78,1,0.0,no,0
CR26-125161,140000,female,high_school,married,34,0,0,0,124100,44400,31000,0.04,0,0.99,no,0
CR26-112653,180000,female,university,married,42,-2,0,0,1700,-1400,13700,1.32,0,0.0,yes,0
CR26-127347,190000,female,university,single,44,0,0,0,146300,-17600,34700,0.04,0,0.72,no,0
CR26-106886,290000,male,university,single,29,0,0,0,5100,-9400,14000,0.46,0,0.0,yes,0
CR26-116006,210000,female,graduate_school,single,32,-1,2,1,700,-1400,4100,0.92,1,0.0,no,0
CR26-108116,230000,female,graduate_school,single,36,1,1,1,0,0,0,0.0,6,0.0,no,0
CR26-122199,110000,female,university,married,28,1,2,2,85800,34600,23000,0.04,0,0.97,no,0
CR26-106370,70000,male,high_school,single,34,0,0,0,29900,27300,9200,0.05,0,0.77,yes,0
CR26-104576,140000,female,unknown,single,25,0,0,0,63400,48700,12300,0.03,0,0.65,no,0
CR26-128581,220000,female,university,married,54,-1,0,0,1900,8700,3200,0.28,4,0.04,no,0
CR26-115192,250000,male,graduate_school,married,41,-1,0,0,1100,-2200,6200,0.94,1,0.0,no,0
CR26-111585,80000,male,university,single,27,2,2,2,61200,-13900,19500,0.05,1,0.73,yes,0
CR26-128499,80000,female,university,married,35,-1,0,0,7800,-600,48800,1.02,2,0.1,yes,0
CR26-107266,110000,female,university,single,27,1,1,1,0,0,0,0.0,6,0.0,no,0
CR26-107333,360000,female,university,married,38,-1,0,0,14800,-17900,53300,0.6,1,0.0,no,0
CR26-123218,180000,male,university,married,27,0,0,0,180400,8500,40200,0.04,0,1.01,no,0
CR26-124119,500000,female,graduate_school,single,54,0,0,0,217900,91500,52000,0.04,0,0.52,no,0
CR26-101448,150000,male,graduate_school,single,29,-2,0,0,5300,-3200,34400,1.08,0,0.03,no,0
CR26-124280,240000,male,graduate_school,married,49,-1,0,0,200,500,1100,1.01,4,0.0,no,0
